split,tile,z,x,y,rs_path,map_path,ref_scale_2_path,ref_scale_4_path,has_map,has_ref_scale_2,has_ref_scale_4,width,height,mode
train,16_31856_20434,16,31856,20434,data/raw/SCGM/extracted/TMGN_1814/train/rs_256/16_31856_20434.png,data/raw/SCGM/extracted/TMGN_1814/train/map_256/16_31856_20434.png,data/raw/SCGM/extracted/TMGN_1814/train/ref_scale_2_256/16_31856_20434.png,data/raw/SCGM/extracted/TMGN_1814/train/ref_scale_4_256/16_31856_20434.png,True,True,True,256,256,RGB
train,16_31857_20434,16,31857,20434,data/raw/SCGM/extracted/TMGN_1814/train/rs_256/16_31857_20434.png,data/raw/SCGM/extracted/TMGN_1814/train/map_256/16_31857_20434.png,data/raw/SCGM/extracted/TMGN_1814/train/ref_scale_2_256/16_31857_20434.png,data/raw/SCGM/extracted/TMGN_1814/train/ref_scale_4_256/16_31857_20434.png,True,True,True,256,256,RGB
train,16_31857_20435,16,31857,20435,data/raw/SCGM/extracted/TMGN_1814/train/rs_256/16_31857_20435.png,data/raw/SCGM/extracted/TMGN_1814/train/map_256/16_31857_20435.png,data/raw/SCGM/extracted/TMGN_1814/train/ref_scale_2_256/16_31857_20435.png,data/raw/SCGM/extracted/TMGN_1814/train/ref_scale_4_256/16_31857_20435.png,True,True,True,256,256,RGB
train,16_31857_20436,16,31857,20436,data/raw/SCGM/extracted/TMGN_1814/train/rs_256/16_31857_20436.png,data/raw/SCGM/extracted/TMGN_1814/train/map_256/16_31857_20436.png,data/raw/SCGM/extracted/TMGN_1814/train/ref_scale_2_256/16_31857_20436.png,data/raw/SCGM/extracted/TMGN_1814/train/ref_scale_4_256/16_31857_20436.png,True,True,True,256,256,RGB
train,16_31857_20437,16,31857,20437,data/raw/SCGM/extracted/TMGN_1814/train/rs_256/16_31857_20437.png,data/raw/SCGM/extracted/TMGN_1814/train/map_256/16_31857_20437.png,data/raw/SCGM/extracted/TMGN_1814/train/ref_scale_2_256/16_31857_20437.png,data/raw/SCGM/extracted/TMGN_1814/train/ref_scale_4_256/16_31857_20437.png,True,True,True,256,256,RGB
train,16_31858_20435,16,31858,20435,data/raw/SCGM/extracted/TMGN_1814/train/rs_256/16_31858_20435.png,data/raw/SCGM/extracted/TMGN_1814/train/map_256/16_31858_20435.png,data/raw/SCGM/extracted/TMGN_1814/train/ref_scale_2_256/16_31858_20435.png,data/raw/SCGM/extracted/TMGN_1814/train/ref_scale_4_256/16_31858_20435.png,True,True,True,256,256,RGB
train,16_31858_20440,16,31858,20440,data/raw/SCGM/extracted/TMGN_1814/train/rs_256/16_31858_20440.png,data/raw/SCGM/extracted/TMGN_1814/train/map_256/16_31858_20440.png,data/raw/SCGM/extracted/TMGN_1814/train/ref_scale_2_256/16_31858_20440.png,data/raw/SCGM/extracted/TMGN_1814/train/ref_scale_4_256/16_31858_20440.png,True,True,True,256,256,RGB
train,16_31859_20437,16,31859,20437,data/raw/SCGM/extracted/TMGN_1814/train/rs_256/16_31859_20437.png,data/raw/SCGM/extracted/TMGN_1814/train/map_256/16_31859_20437.png,data/raw/SCGM/extracted/TMGN_1814/train/ref_scale_2_256/16_31859_20437.png,data/raw/SCGM/extracted/TMGN_1814/train/ref_scale_4_256/16_31859_20437.png,True,True,True,256,256,RGB
train,16_31859_20442,16,31859,20442,data/raw/SCGM/extracted/TMGN_1814/train/rs_256/16_31859_20442.png,data/raw/SCGM/extracted/TMGN_1814/train/map_256/16_31859_20442.png,data/raw/SCGM/extracted/TMGN_1814/train/ref_scale_2_256/16_31859_20442.png,data/raw/SCGM/extracted/TMGN_1814/train/ref_scale_4_256/16_31859_20442.png,True,True,True,256,256,RGB
train,16_31859_20444,16,31859,20444,data/raw/SCGM/extracted/TMGN_1814/train/rs_256/16_31859_20444.png,data/raw/SCGM/extracted/TMGN_1814/train/map_256/16_31859_20444.png,data/raw/SCGM/extracted/TMGN_1814/train/ref_scale_2_256/16_31859_20444.png,data/raw/SCGM/extracted/TMGN_1814/train/ref_scale_4_256/16_31859_20444.png,True,True,True,256,256,RGB
