split,tile,z,x,y,mae_rgb,psnr_rgb,global_ssim_luma,val_rs_path,generated_map_path,target_map_path
val,14_7965_5111,14,7965,5111,20.718878,20.670241,0.520334,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7965_5111.png,experiments/03_scgm_subset_reproduction/outputs/scgm_local_context_ridge_generated_maps/14_7965_5111_local_context_ridge.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7965_5111.png
val,14_7969_5110,14,7969,5110,19.294840,20.315981,0.522763,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7969_5110.png,experiments/03_scgm_subset_reproduction/outputs/scgm_local_context_ridge_generated_maps/14_7969_5110_local_context_ridge.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7969_5110.png
val,14_7970_5120,14,7970,5120,17.429962,22.029882,0.615640,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7970_5120.png,experiments/03_scgm_subset_reproduction/outputs/scgm_local_context_ridge_generated_maps/14_7970_5120_local_context_ridge.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7970_5120.png
val,14_7970_5124,14,7970,5124,20.390869,20.250000,0.418685,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7970_5124.png,experiments/03_scgm_subset_reproduction/outputs/scgm_local_context_ridge_generated_maps/14_7970_5124_local_context_ridge.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7970_5124.png
val,14_7973_5126,14,7973,5126,16.888876,21.952381,0.257591,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7973_5126.png,experiments/03_scgm_subset_reproduction/outputs/scgm_local_context_ridge_generated_maps/14_7973_5126_local_context_ridge.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7973_5126.png
val,14_7974_5109,14,7974,5109,10.666656,24.909544,0.767738,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7974_5109.png,experiments/03_scgm_subset_reproduction/outputs/scgm_local_context_ridge_generated_maps/14_7974_5109_local_context_ridge.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7974_5109.png
val,14_7976_5122,14,7976,5122,19.129862,20.896101,0.558076,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7976_5122.png,experiments/03_scgm_subset_reproduction/outputs/scgm_local_context_ridge_generated_maps/14_7976_5122_local_context_ridge.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7976_5122.png
val,14_7978_5122,14,7978,5122,11.653972,22.975756,0.203504,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7978_5122.png,experiments/03_scgm_subset_reproduction/outputs/scgm_local_context_ridge_generated_maps/14_7978_5122_local_context_ridge.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7978_5122.png
val,14_7978_5126,14,7978,5126,12.855861,24.513377,0.659339,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7978_5126.png,experiments/03_scgm_subset_reproduction/outputs/scgm_local_context_ridge_generated_maps/14_7978_5126_local_context_ridge.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7978_5126.png
val,14_7980_5111,14,7980,5111,11.928360,24.383754,0.471807,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7980_5111.png,experiments/03_scgm_subset_reproduction/outputs/scgm_local_context_ridge_generated_maps/14_7980_5111_local_context_ridge.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7980_5111.png
val,14_7980_5115,14,7980,5115,17.543207,21.609706,0.526878,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7980_5115.png,experiments/03_scgm_subset_reproduction/outputs/scgm_local_context_ridge_generated_maps/14_7980_5115_local_context_ridge.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7980_5115.png
val,14_7980_5129,14,7980,5129,15.184093,23.105326,0.452436,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7980_5129.png,experiments/03_scgm_subset_reproduction/outputs/scgm_local_context_ridge_generated_maps/14_7980_5129_local_context_ridge.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7980_5129.png
val,14_7980_5147,14,7980,5147,16.277964,22.206306,0.383283,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7980_5147.png,experiments/03_scgm_subset_reproduction/outputs/scgm_local_context_ridge_generated_maps/14_7980_5147_local_context_ridge.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7980_5147.png
val,14_7981_5126,14,7981,5126,21.487457,19.821052,0.343596,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7981_5126.png,experiments/03_scgm_subset_reproduction/outputs/scgm_local_context_ridge_generated_maps/14_7981_5126_local_context_ridge.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7981_5126.png
val,14_7981_5132,14,7981,5132,16.225290,22.056817,0.334678,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7981_5132.png,experiments/03_scgm_subset_reproduction/outputs/scgm_local_context_ridge_generated_maps/14_7981_5132_local_context_ridge.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7981_5132.png
