split,tile,z,x,y,mae_rgb,psnr_rgb,global_ssim_luma,val_rs_path,generated_map_path,target_map_path
val,14_7965_5111,14,7965,5111,21.784296,18.852469,0.271078,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7965_5111.png,experiments/03_scgm_subset_reproduction/outputs/scgm_mlp_generated_maps/14_7965_5111_mlp.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7965_5111.png
val,14_7969_5110,14,7969,5110,24.217422,17.709562,0.237780,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7969_5110.png,experiments/03_scgm_subset_reproduction/outputs/scgm_mlp_generated_maps/14_7969_5110_mlp.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7969_5110.png
val,14_7970_5120,14,7970,5120,29.363123,16.564197,0.358338,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7970_5120.png,experiments/03_scgm_subset_reproduction/outputs/scgm_mlp_generated_maps/14_7970_5120_mlp.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7970_5120.png
val,14_7970_5124,14,7970,5124,22.227188,19.630006,0.483231,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7970_5124.png,experiments/03_scgm_subset_reproduction/outputs/scgm_mlp_generated_maps/14_7970_5124_mlp.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7970_5124.png
val,14_7973_5126,14,7973,5126,66.939690,11.184848,0.156618,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7973_5126.png,experiments/03_scgm_subset_reproduction/outputs/scgm_mlp_generated_maps/14_7973_5126_mlp.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7973_5126.png
val,14_7974_5109,14,7974,5109,40.273983,14.441185,0.326125,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7974_5109.png,experiments/03_scgm_subset_reproduction/outputs/scgm_mlp_generated_maps/14_7974_5109_mlp.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7974_5109.png
val,14_7976_5122,14,7976,5122,42.685699,14.838337,0.469111,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7976_5122.png,experiments/03_scgm_subset_reproduction/outputs/scgm_mlp_generated_maps/14_7976_5122_mlp.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7976_5122.png
val,14_7978_5122,14,7978,5122,23.953848,18.881857,0.275336,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7978_5122.png,experiments/03_scgm_subset_reproduction/outputs/scgm_mlp_generated_maps/14_7978_5122_mlp.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7978_5122.png
val,14_7978_5126,14,7978,5126,86.504799,9.166589,0.181121,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7978_5126.png,experiments/03_scgm_subset_reproduction/outputs/scgm_mlp_generated_maps/14_7978_5126_mlp.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7978_5126.png
val,14_7980_5111,14,7980,5111,20.807037,21.180184,0.538686,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7980_5111.png,experiments/03_scgm_subset_reproduction/outputs/scgm_mlp_generated_maps/14_7980_5111_mlp.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7980_5111.png
val,14_7980_5115,14,7980,5115,56.615738,12.129842,0.237209,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7980_5115.png,experiments/03_scgm_subset_reproduction/outputs/scgm_mlp_generated_maps/14_7980_5115_mlp.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7980_5115.png
val,14_7980_5129,14,7980,5129,18.451868,21.964081,0.493436,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7980_5129.png,experiments/03_scgm_subset_reproduction/outputs/scgm_mlp_generated_maps/14_7980_5129_mlp.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7980_5129.png
val,14_7980_5147,14,7980,5147,18.117208,20.795952,0.237604,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7980_5147.png,experiments/03_scgm_subset_reproduction/outputs/scgm_mlp_generated_maps/14_7980_5147_mlp.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7980_5147.png
val,14_7981_5126,14,7981,5126,116.042809,6.716573,0.232534,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7981_5126.png,experiments/03_scgm_subset_reproduction/outputs/scgm_mlp_generated_maps/14_7981_5126_mlp.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7981_5126.png
val,14_7981_5132,14,7981,5132,18.767633,20.469903,0.269141,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7981_5132.png,experiments/03_scgm_subset_reproduction/outputs/scgm_mlp_generated_maps/14_7981_5132_mlp.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7981_5132.png
val,14_7981_5147,14,7981,5147,24.804398,18.454497,0.241830,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7981_5147.png,experiments/03_scgm_subset_reproduction/outputs/scgm_mlp_generated_maps/14_7981_5147_mlp.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7981_5147.png
val,14_7982_5143,14,7982,5143,24.182943,18.584232,0.203027,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7982_5143.png,experiments/03_scgm_subset_reproduction/outputs/scgm_mlp_generated_maps/14_7982_5143_mlp.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7982_5143.png
val,14_7983_5104,14,7983,5104,23.673178,18.245557,0.235360,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7983_5104.png,experiments/03_scgm_subset_reproduction/outputs/scgm_mlp_generated_maps/14_7983_5104_mlp.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7983_5104.png
val,14_7983_5113,14,7983,5113,18.629690,20.290786,0.176556,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7983_5113.png,experiments/03_scgm_subset_reproduction/outputs/scgm_mlp_generated_maps/14_7983_5113_mlp.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7983_5113.png
val,14_7983_5129,14,7983,5129,44.612167,14.306033,0.281288,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7983_5129.png,experiments/03_scgm_subset_reproduction/outputs/scgm_mlp_generated_maps/14_7983_5129_mlp.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7983_5129.png
val,14_7983_5139,14,7983,5139,33.671875,15.995967,0.225228,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7983_5139.png,experiments/03_scgm_subset_reproduction/outputs/scgm_mlp_generated_maps/14_7983_5139_mlp.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7983_5139.png
val,14_7984_5106,14,7984,5106,24.185659,18.310010,0.277054,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7984_5106.png,experiments/03_scgm_subset_reproduction/outputs/scgm_mlp_generated_maps/14_7984_5106_mlp.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7984_5106.png
val,14_7985_5117,14,7985,5117,19.853739,21.534327,0.557585,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7985_5117.png,experiments/03_scgm_subset_reproduction/outputs/scgm_mlp_generated_maps/14_7985_5117_mlp.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7985_5117.png
val,14_7985_5137,14,7985,5137,36.939285,15.101225,0.203121,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7985_5137.png,experiments/03_scgm_subset_reproduction/outputs/scgm_mlp_generated_maps/14_7985_5137_mlp.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7985_5137.png
val,14_7987_5121,14,7987,5121,90.670570,8.837503,0.327107,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7987_5121.png,experiments/03_scgm_subset_reproduction/outputs/scgm_mlp_generated_maps/14_7987_5121_mlp.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7987_5121.png
val,14_7987_5125,14,7987,5125,16.540222,21.744837,0.331534,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7987_5125.png,experiments/03_scgm_subset_reproduction/outputs/scgm_mlp_generated_maps/14_7987_5125_mlp.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7987_5125.png
val,14_7987_5135,14,7987,5135,22.457312,19.012254,0.296974,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7987_5135.png,experiments/03_scgm_subset_reproduction/outputs/scgm_mlp_generated_maps/14_7987_5135_mlp.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7987_5135.png
val,14_7988_5104,14,7988,5104,37.200809,15.120412,0.249031,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7988_5104.png,experiments/03_scgm_subset_reproduction/outputs/scgm_mlp_generated_maps/14_7988_5104_mlp.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7988_5104.png
val,14_7988_5108,14,7988,5108,23.009958,17.691849,0.163699,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7988_5108.png,experiments/03_scgm_subset_reproduction/outputs/scgm_mlp_generated_maps/14_7988_5108_mlp.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7988_5108.png
val,14_7988_5143,14,7988,5143,18.576193,21.217353,0.340553,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7988_5143.png,experiments/03_scgm_subset_reproduction/outputs/scgm_mlp_generated_maps/14_7988_5143_mlp.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7988_5143.png
