baseline,tile_a,tile_b,direction,generated_seam_absdiff,target_seam_absdiff,generated_minus_target,stress_ratio,generated_a_path,generated_b_path
color-stat retrieval,14_7980_5147,14_7981_5147,right,5.864583,2.743490,3.121094,2.137637,experiments/03_scgm_subset_reproduction/outputs/scgm_retrieval_baseline_generated_maps/14_7980_5147_retrieval.png,experiments/03_scgm_subset_reproduction/outputs/scgm_retrieval_baseline_generated_maps/14_7981_5147_retrieval.png
color-stat retrieval,14_7990_5114,14_7991_5114,right,7.117188,8.635417,-1.518229,0.824186,experiments/03_scgm_subset_reproduction/outputs/scgm_retrieval_baseline_generated_maps/14_7990_5114_retrieval.png,experiments/03_scgm_subset_reproduction/outputs/scgm_retrieval_baseline_generated_maps/14_7991_5114_retrieval.png
color-stat retrieval,14_7991_5104,14_7992_5104,right,34.066406,0.445312,33.621094,76.500000,experiments/03_scgm_subset_reproduction/outputs/scgm_retrieval_baseline_generated_maps/14_7991_5104_retrieval.png,experiments/03_scgm_subset_reproduction/outputs/scgm_retrieval_baseline_generated_maps/14_7992_5104_retrieval.png
color-stat retrieval,14_7993_5116,14_7993_5117,down,5.723958,2.083333,3.640625,2.747500,experiments/03_scgm_subset_reproduction/outputs/scgm_retrieval_baseline_generated_maps/14_7993_5116_retrieval.png,experiments/03_scgm_subset_reproduction/outputs/scgm_retrieval_baseline_generated_maps/14_7993_5117_retrieval.png
color-stat retrieval,14_7995_5116,14_7995_5117,down,22.808594,6.001302,16.807292,3.800607,experiments/03_scgm_subset_reproduction/outputs/scgm_retrieval_baseline_generated_maps/14_7995_5116_retrieval.png,experiments/03_scgm_subset_reproduction/outputs/scgm_retrieval_baseline_generated_maps/14_7995_5117_retrieval.png
color-stat retrieval,14_7996_5109,14_7996_5110,down,23.703125,2.597656,21.105469,9.124812,experiments/03_scgm_subset_reproduction/outputs/scgm_retrieval_baseline_generated_maps/14_7996_5109_retrieval.png,experiments/03_scgm_subset_reproduction/outputs/scgm_retrieval_baseline_generated_maps/14_7996_5110_retrieval.png
color-stat retrieval,14_7998_5114,14_7999_5114,right,35.988281,9.363281,26.625000,3.843554,experiments/03_scgm_subset_reproduction/outputs/scgm_retrieval_baseline_generated_maps/14_7998_5114_retrieval.png,experiments/03_scgm_subset_reproduction/outputs/scgm_retrieval_baseline_generated_maps/14_7999_5114_retrieval.png
color-stat retrieval,14_7999_5112,14_8000_5112,right,35.988281,2.322917,33.665365,15.492712,experiments/03_scgm_subset_reproduction/outputs/scgm_retrieval_baseline_generated_maps/14_7999_5112_retrieval.png,experiments/03_scgm_subset_reproduction/outputs/scgm_retrieval_baseline_generated_maps/14_8000_5112_retrieval.png
color-stat retrieval,14_8000_5112,14_8000_5113,down,22.808594,4.080729,18.727865,5.589343,experiments/03_scgm_subset_reproduction/outputs/scgm_retrieval_baseline_generated_maps/14_8000_5112_retrieval.png,experiments/03_scgm_subset_reproduction/outputs/scgm_retrieval_baseline_generated_maps/14_8000_5113_retrieval.png
color-stat retrieval,14_8004_5091,14_8005_5091,right,3.302083,2.190104,1.111979,1.507729,experiments/03_scgm_subset_reproduction/outputs/scgm_retrieval_baseline_generated_maps/14_8004_5091_retrieval.png,experiments/03_scgm_subset_reproduction/outputs/scgm_retrieval_baseline_generated_maps/14_8005_5091_retrieval.png
