split,folder,z,x,y,neighbor_x,neighbor_y,direction,edge_absdiff_rgb,tile,neighbor
val,multifeature_retrieval_generated,14,7980,5147,7981,5147,right,40.063801,14_7980_5147_multifeature_retrieval.png,14_7981_5147_multifeature_retrieval.png
val,multifeature_retrieval_generated,14,7990,5114,7991,5114,right,29.811197,14_7990_5114_multifeature_retrieval.png,14_7991_5114_multifeature_retrieval.png
val,multifeature_retrieval_generated,14,7991,5104,7992,5104,right,31.606771,14_7991_5104_multifeature_retrieval.png,14_7992_5104_multifeature_retrieval.png
val,multifeature_retrieval_generated,14,7993,5116,7993,5117,down,36.221355,14_7993_5116_multifeature_retrieval.png,14_7993_5117_multifeature_retrieval.png
val,multifeature_retrieval_generated,14,7995,5116,7995,5117,down,32.485676,14_7995_5116_multifeature_retrieval.png,14_7995_5117_multifeature_retrieval.png
val,multifeature_retrieval_generated,14,7996,5109,7996,5110,down,32.618488,14_7996_5109_multifeature_retrieval.png,14_7996_5110_multifeature_retrieval.png
val,multifeature_retrieval_generated,14,7998,5114,7999,5114,right,31.471354,14_7998_5114_multifeature_retrieval.png,14_7999_5114_multifeature_retrieval.png
val,multifeature_retrieval_generated,14,7999,5112,8000,5112,right,1.144531,14_7999_5112_multifeature_retrieval.png,14_8000_5112_multifeature_retrieval.png
val,multifeature_retrieval_generated,14,8000,5112,8000,5113,down,32.520832,14_8000_5112_multifeature_retrieval.png,14_8000_5113_multifeature_retrieval.png
val,multifeature_retrieval_generated,14,8004,5091,8005,5091,right,4.980469,14_8004_5091_multifeature_retrieval.png,14_8005_5091_multifeature_retrieval.png
val,multifeature_retrieval_generated,14,8010,5105,8010,5106,down,8.839844,14_8010_5105_multifeature_retrieval.png,14_8010_5106_multifeature_retrieval.png
val,multifeature_retrieval_generated,14,8010,5114,8010,5115,down,7.312500,14_8010_5114_multifeature_retrieval.png,14_8010_5115_multifeature_retrieval.png
