split,tile,z,x,y,retrieved_train_tile,retrieved_same_zoom,feature_distance,mae_rgb,psnr_rgb,global_ssim_luma,val_rs_path,generated_map_path,target_map_path
val,14_7965_5111,14,7965,5111,14_7971_5110,True,0.244585,28.227427,17.422796,0.276117,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7965_5111.png,experiments/03_scgm_subset_reproduction/outputs/scgm_multifeature_retrieval_generated_maps/14_7965_5111_multifeature_retrieval.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7965_5111.png
val,14_7969_5110,14,7969,5110,14_7974_5130,True,0.303863,17.574560,18.239769,0.159043,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7969_5110.png,experiments/03_scgm_subset_reproduction/outputs/scgm_multifeature_retrieval_generated_maps/14_7969_5110_multifeature_retrieval.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7969_5110.png
val,14_7970_5120,14,7970,5120,14_7970_5121,True,0.313709,1.474523,28.959952,0.734811,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7970_5120.png,experiments/03_scgm_subset_reproduction/outputs/scgm_multifeature_retrieval_generated_maps/14_7970_5120_multifeature_retrieval.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7970_5120.png
val,14_7970_5124,14,7970,5124,14_7974_5121,True,0.132621,31.480347,16.908776,0.460577,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7970_5124.png,experiments/03_scgm_subset_reproduction/outputs/scgm_multifeature_retrieval_generated_maps/14_7970_5124_multifeature_retrieval.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7970_5124.png
val,14_7973_5126,14,7973,5126,14_7974_5125,True,0.176338,15.881230,20.092944,0.204265,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7973_5126.png,experiments/03_scgm_subset_reproduction/outputs/scgm_multifeature_retrieval_generated_maps/14_7973_5126_multifeature_retrieval.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7973_5126.png
val,14_7974_5109,14,7974,5109,14_7969_5123,True,0.292891,29.331375,17.047759,0.120240,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7974_5109.png,experiments/03_scgm_subset_reproduction/outputs/scgm_multifeature_retrieval_generated_maps/14_7974_5109_multifeature_retrieval.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7974_5109.png
val,14_7976_5122,14,7976,5122,14_7975_5123,True,0.213278,8.462311,22.786286,0.279892,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7976_5122.png,experiments/03_scgm_subset_reproduction/outputs/scgm_multifeature_retrieval_generated_maps/14_7976_5122_multifeature_retrieval.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7976_5122.png
val,14_7978_5122,14,7978,5122,14_7973_5130,True,0.226591,12.526958,20.660917,0.152982,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7978_5122.png,experiments/03_scgm_subset_reproduction/outputs/scgm_multifeature_retrieval_generated_maps/14_7978_5122_multifeature_retrieval.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7978_5122.png
val,14_7978_5126,14,7978,5126,14_7974_5125,True,0.248218,22.401276,18.456214,0.251879,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7978_5126.png,experiments/03_scgm_subset_reproduction/outputs/scgm_multifeature_retrieval_generated_maps/14_7978_5126_multifeature_retrieval.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7978_5126.png
val,14_7980_5111,14,7980,5111,14_7975_5120,True,0.226568,31.926767,16.875485,0.402890,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7980_5111.png,experiments/03_scgm_subset_reproduction/outputs/scgm_multifeature_retrieval_generated_maps/14_7980_5111_multifeature_retrieval.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7980_5111.png
