split,folder,z,x,y,neighbor_x,neighbor_y,direction,edge_absdiff_rgb,tile,neighbor
val,patch_embedding_retrieval_generated,14,7980,5147,7981,5147,right,10.264323,14_7980_5147_patch_embedding_retrieval.png,14_7981_5147_patch_embedding_retrieval.png
val,patch_embedding_retrieval_generated,14,7990,5114,7991,5114,right,13.345052,14_7990_5114_patch_embedding_retrieval.png,14_7991_5114_patch_embedding_retrieval.png
val,patch_embedding_retrieval_generated,14,7991,5104,7992,5104,right,12.722656,14_7991_5104_patch_embedding_retrieval.png,14_7992_5104_patch_embedding_retrieval.png
val,patch_embedding_retrieval_generated,14,7993,5116,7993,5117,down,8.167969,14_7993_5116_patch_embedding_retrieval.png,14_7993_5117_patch_embedding_retrieval.png
val,patch_embedding_retrieval_generated,14,7995,5116,7995,5117,down,17.364584,14_7995_5116_patch_embedding_retrieval.png,14_7995_5117_patch_embedding_retrieval.png
val,patch_embedding_retrieval_generated,14,7996,5109,7996,5110,down,4.446615,14_7996_5109_patch_embedding_retrieval.png,14_7996_5110_patch_embedding_retrieval.png
val,patch_embedding_retrieval_generated,14,7998,5114,7999,5114,right,11.851562,14_7998_5114_patch_embedding_retrieval.png,14_7999_5114_patch_embedding_retrieval.png
val,patch_embedding_retrieval_generated,14,7999,5112,8000,5112,right,11.161458,14_7999_5112_patch_embedding_retrieval.png,14_8000_5112_patch_embedding_retrieval.png
val,patch_embedding_retrieval_generated,14,8000,5112,8000,5113,down,6.578125,14_8000_5112_patch_embedding_retrieval.png,14_8000_5113_patch_embedding_retrieval.png
val,patch_embedding_retrieval_generated,14,8004,5091,8005,5091,right,18.781250,14_8004_5091_patch_embedding_retrieval.png,14_8005_5091_patch_embedding_retrieval.png
val,patch_embedding_retrieval_generated,14,8010,5105,8010,5106,down,11.605469,14_8010_5105_patch_embedding_retrieval.png,14_8010_5106_patch_embedding_retrieval.png
val,patch_embedding_retrieval_generated,14,8010,5114,8010,5115,down,10.558594,14_8010_5114_patch_embedding_retrieval.png,14_8010_5115_patch_embedding_retrieval.png
