split,tile,z,x,y,retrieved_train_tile,retrieved_same_zoom,feature_distance,mae_rgb,psnr_rgb,global_ssim_luma,val_rs_path,generated_map_path,target_map_path
val,14_7965_5111,14,7965,5111,14_7970_5117,True,0.031482,24.001577,17.158631,-0.155096,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7965_5111.png,experiments/03_scgm_subset_reproduction/outputs/scgm_retrieval_baseline_generated_maps/14_7965_5111_retrieval.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7965_5111.png
val,14_7969_5110,14,7969,5110,14_7972_5105,True,0.057237,16.764902,18.792793,0.483723,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7969_5110.png,experiments/03_scgm_subset_reproduction/outputs/scgm_retrieval_baseline_generated_maps/14_7969_5110_retrieval.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7969_5110.png
val,14_7970_5120,14,7970,5120,14_7970_5121,True,0.052208,1.474523,28.959952,0.734811,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7970_5120.png,experiments/03_scgm_subset_reproduction/outputs/scgm_retrieval_baseline_generated_maps/14_7970_5120_retrieval.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7970_5120.png
val,14_7970_5124,14,7970,5124,14_7970_5125,True,0.032832,5.024226,22.086173,0.362278,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7970_5124.png,experiments/03_scgm_subset_reproduction/outputs/scgm_retrieval_baseline_generated_maps/14_7970_5124_retrieval.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7970_5124.png
val,14_7973_5126,14,7973,5126,14_7974_5124,True,0.026287,9.719772,22.217035,0.289223,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7973_5126.png,experiments/03_scgm_subset_reproduction/outputs/scgm_retrieval_baseline_generated_maps/14_7973_5126_retrieval.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7973_5126.png
val,14_7974_5109,14,7974,5109,14_7976_5120,True,0.081942,13.461263,20.772149,0.253930,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7974_5109.png,experiments/03_scgm_subset_reproduction/outputs/scgm_retrieval_baseline_generated_maps/14_7974_5109_retrieval.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7974_5109.png
val,14_7976_5122,14,7976,5122,14_7975_5124,True,0.025713,25.497766,18.093825,0.322624,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7976_5122.png,experiments/03_scgm_subset_reproduction/outputs/scgm_retrieval_baseline_generated_maps/14_7976_5122_retrieval.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7976_5122.png
val,14_7978_5122,14,7978,5122,14_7973_5129,True,0.078978,10.149521,20.663226,0.200167,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7978_5122.png,experiments/03_scgm_subset_reproduction/outputs/scgm_retrieval_baseline_generated_maps/14_7978_5122_retrieval.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7978_5122.png
val,14_7978_5126,14,7978,5126,14_7975_5127,True,0.056113,1.220067,33.599772,0.690075,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7978_5126.png,experiments/03_scgm_subset_reproduction/outputs/scgm_retrieval_baseline_generated_maps/14_7978_5126_retrieval.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7978_5126.png
val,14_7980_5111,14,7980,5111,14_7975_5126,True,0.047111,2.675395,28.879737,0.431412,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7980_5111.png,experiments/03_scgm_subset_reproduction/outputs/scgm_retrieval_baseline_generated_maps/14_7980_5111_retrieval.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7980_5111.png
val,14_7980_5115,14,7980,5115,14_7974_5120,True,0.047148,29.399048,16.779606,0.002579,data/raw/SCGM/extracted/TMGN_1814/val/rs_256/14_7980_5115.png,experiments/03_scgm_subset_reproduction/outputs/scgm_retrieval_baseline_generated_maps/14_7980_5115_retrieval.png,data/raw/SCGM/extracted/TMGN_1814/val/map_256/14_7980_5115.png
