split,tile,z,x,y,rs_path,map_path,ref_scale_2_path,ref_scale_4_path,has_map,has_ref_scale_2,has_ref_scale_4,width,height,mode
train,14_7964_5108,14,7964,5108,data/raw/SCGM/extracted/TMGN_1814/train/rs_256/14_7964_5108.png,data/raw/SCGM/extracted/TMGN_1814/train/map_256/14_7964_5108.png,,,True,False,False,256,256,RGB
train,14_7964_5109,14,7964,5109,data/raw/SCGM/extracted/TMGN_1814/train/rs_256/14_7964_5109.png,data/raw/SCGM/extracted/TMGN_1814/train/map_256/14_7964_5109.png,,,True,False,False,256,256,RGB
train,14_7964_5110,14,7964,5110,data/raw/SCGM/extracted/TMGN_1814/train/rs_256/14_7964_5110.png,data/raw/SCGM/extracted/TMGN_1814/train/map_256/14_7964_5110.png,,,True,False,False,256,256,RGB
train,14_7964_5111,14,7964,5111,data/raw/SCGM/extracted/TMGN_1814/train/rs_256/14_7964_5111.png,data/raw/SCGM/extracted/TMGN_1814/train/map_256/14_7964_5111.png,,,True,False,False,256,256,RGB
train,14_7965_5108,14,7965,5108,data/raw/SCGM/extracted/TMGN_1814/train/rs_256/14_7965_5108.png,data/raw/SCGM/extracted/TMGN_1814/train/map_256/14_7965_5108.png,,,True,False,False,256,256,RGB
train,14_7965_5109,14,7965,5109,data/raw/SCGM/extracted/TMGN_1814/train/rs_256/14_7965_5109.png,data/raw/SCGM/extracted/TMGN_1814/train/map_256/14_7965_5109.png,,,True,False,False,256,256,RGB
train,14_7965_5110,14,7965,5110,data/raw/SCGM/extracted/TMGN_1814/train/rs_256/14_7965_5110.png,data/raw/SCGM/extracted/TMGN_1814/train/map_256/14_7965_5110.png,,,True,False,False,256,256,RGB
train,14_7965_5111,14,7965,5111,data/raw/SCGM/extracted/TMGN_1814/train/rs_256/14_7965_5111.png,data/raw/SCGM/extracted/TMGN_1814/train/map_256/14_7965_5111.png,,,True,False,False,256,256,RGB
train,14_7965_5112,14,7965,5112,data/raw/SCGM/extracted/TMGN_1814/train/rs_256/14_7965_5112.png,data/raw/SCGM/extracted/TMGN_1814/train/map_256/14_7965_5112.png,,,True,False,False,256,256,RGB
train,14_7966_5107,14,7966,5107,data/raw/SCGM/extracted/TMGN_1814/train/rs_256/14_7966_5107.png,data/raw/SCGM/extracted/TMGN_1814/train/map_256/14_7966_5107.png,,,True,False,False,256,256,RGB
train,14_7966_5108,14,7966,5108,data/raw/SCGM/extracted/TMGN_1814/train/rs_256/14_7966_5108.png,data/raw/SCGM/extracted/TMGN_1814/train/map_256/14_7966_5108.png,,,True,False,False,256,256,RGB
train,14_7966_5109,14,7966,5109,data/raw/SCGM/extracted/TMGN_1814/train/rs_256/14_7966_5109.png,data/raw/SCGM/extracted/TMGN_1814/train/map_256/14_7966_5109.png,,,True,False,False,256,256,RGB
train,14_7966_5110,14,7966,5110,data/raw/SCGM/extracted/TMGN_1814/train/rs_256/14_7966_5110.png,data/raw/SCGM/extracted/TMGN_1814/train/map_256/14_7966_5110.png,,,True,False,False,256,256,RGB
train,14_7967_5107,14,7967,5107,data/raw/SCGM/extracted/TMGN_1814/train/rs_256/14_7967_5107.png,data/raw/SCGM/extracted/TMGN_1814/train/map_256/14_7967_5107.png,,,True,False,False,256,256,RGB
train,14_7967_5108,14,7967,5108,data/raw/SCGM/extracted/TMGN_1814/train/rs_256/14_7967_5108.png,data/raw/SCGM/extracted/TMGN_1814/train/map_256/14_7967_5108.png,,,True,False,False,256,256,RGB
train,14_7969_5106,14,7969,5106,data/raw/SCGM/extracted/TMGN_1814/train/rs_256/14_7969_5106.png,data/raw/SCGM/extracted/TMGN_1814/train/map_256/14_7969_5106.png,,,True,False,False,256,256,RGB
train,14_7969_5108,14,7969,5108,data/raw/SCGM/extracted/TMGN_1814/train/rs_256/14_7969_5108.png,data/raw/SCGM/extracted/TMGN_1814/train/map_256/14_7969_5108.png,,,True,False,False,256,256,RGB
train,14_7969_5109,14,7969,5109,data/raw/SCGM/extracted/TMGN_1814/train/rs_256/14_7969_5109.png,data/raw/SCGM/extracted/TMGN_1814/train/map_256/14_7969_5109.png,,,True,False,False,256,256,RGB
train,14_7969_5110,14,7969,5110,data/raw/SCGM/extracted/TMGN_1814/train/rs_256/14_7969_5110.png,data/raw/SCGM/extracted/TMGN_1814/train/map_256/14_7969_5110.png,,,True,False,False,256,256,RGB
train,14_7969_5111,14,7969,5111,data/raw/SCGM/extracted/TMGN_1814/train/rs_256/14_7969_5111.png,data/raw/SCGM/extracted/TMGN_1814/train/map_256/14_7969_5111.png,,,True,False,False,256,256,RGB
train,14_7969_5112,14,7969,5112,data/raw/SCGM/extracted/TMGN_1814/train/rs_256/14_7969_5112.png,data/raw/SCGM/extracted/TMGN_1814/train/map_256/14_7969_5112.png,,,True,False,False,256,256,RGB
train,14_7969_5113,14,7969,5113,data/raw/SCGM/extracted/TMGN_1814/train/rs_256/14_7969_5113.png,data/raw/SCGM/extracted/TMGN_1814/train/map_256/14_7969_5113.png,,,True,False,False,256,256,RGB
train,14_7969_5114,14,7969,5114,data/raw/SCGM/extracted/TMGN_1814/train/rs_256/14_7969_5114.png,data/raw/SCGM/extracted/TMGN_1814/train/map_256/14_7969_5114.png,,,True,False,False,256,256,RGB
train,14_7969_5115,14,7969,5115,data/raw/SCGM/extracted/TMGN_1814/train/rs_256/14_7969_5115.png,data/raw/SCGM/extracted/TMGN_1814/train/map_256/14_7969_5115.png,,,True,False,False,256,256,RGB
train,14_7969_5116,14,7969,5116,data/raw/SCGM/extracted/TMGN_1814/train/rs_256/14_7969_5116.png,data/raw/SCGM/extracted/TMGN_1814/train/map_256/14_7969_5116.png,,,True,False,False,256,256,RGB
train,14_7969_5117,14,7969,5117,data/raw/SCGM/extracted/TMGN_1814/train/rs_256/14_7969_5117.png,data/raw/SCGM/extracted/TMGN_1814/train/map_256/14_7969_5117.png,,,True,False,False,256,256,RGB
train,14_7969_5122,14,7969,5122,data/raw/SCGM/extracted/TMGN_1814/train/rs_256/14_7969_5122.png,data/raw/SCGM/extracted/TMGN_1814/train/map_256/14_7969_5122.png,,,True,False,False,256,256,RGB
train,14_7969_5123,14,7969,5123,data/raw/SCGM/extracted/TMGN_1814/train/rs_256/14_7969_5123.png,data/raw/SCGM/extracted/TMGN_1814/train/map_256/14_7969_5123.png,,,True,False,False,256,256,RGB
train,14_7969_5124,14,7969,5124,data/raw/SCGM/extracted/TMGN_1814/train/rs_256/14_7969_5124.png,data/raw/SCGM/extracted/TMGN_1814/train/map_256/14_7969_5124.png,,,True,False,False,256,256,RGB
train,14_7970_5106,14,7970,5106,data/raw/SCGM/extracted/TMGN_1814/train/rs_256/14_7970_5106.png,data/raw/SCGM/extracted/TMGN_1814/train/map_256/14_7970_5106.png,,,True,False,False,256,256,RGB
