split,folder,z,x,y,neighbor_x,neighbor_y,direction,edge_absdiff_rgb,tile,neighbor
val,tiny_cnn_generated,14,7980,5147,7981,5147,right,4.753906,14_7980_5147_tiny_cnn.png,14_7981_5147_tiny_cnn.png
val,tiny_cnn_generated,14,7990,5114,7991,5114,right,4.932292,14_7990_5114_tiny_cnn.png,14_7991_5114_tiny_cnn.png
val,tiny_cnn_generated,14,7991,5104,7992,5104,right,5.016927,14_7991_5104_tiny_cnn.png,14_7992_5104_tiny_cnn.png
val,tiny_cnn_generated,14,7993,5116,7993,5117,down,13.761719,14_7993_5116_tiny_cnn.png,14_7993_5117_tiny_cnn.png
val,tiny_cnn_generated,14,7995,5116,7995,5117,down,14.268229,14_7995_5116_tiny_cnn.png,14_7995_5117_tiny_cnn.png
val,tiny_cnn_generated,14,7996,5109,7996,5110,down,14.089844,14_7996_5109_tiny_cnn.png,14_7996_5110_tiny_cnn.png
val,tiny_cnn_generated,14,7998,5114,7999,5114,right,5.464844,14_7998_5114_tiny_cnn.png,14_7999_5114_tiny_cnn.png
val,tiny_cnn_generated,14,7999,5112,8000,5112,right,4.699219,14_7999_5112_tiny_cnn.png,14_8000_5112_tiny_cnn.png
val,tiny_cnn_generated,14,8000,5112,8000,5113,down,15.696614,14_8000_5112_tiny_cnn.png,14_8000_5113_tiny_cnn.png
val,tiny_cnn_generated,14,8004,5091,8005,5091,right,5.408854,14_8004_5091_tiny_cnn.png,14_8005_5091_tiny_cnn.png
val,tiny_cnn_generated,14,8010,5105,8010,5106,down,11.985677,14_8010_5105_tiny_cnn.png,14_8010_5106_tiny_cnn.png
val,tiny_cnn_generated,14,8010,5114,8010,5115,down,10.584636,14_8010_5114_tiny_cnn.png,14_8010_5115_tiny_cnn.png
